id,valid_cnt_in,valid_mny_in,valid_tax_in,cancel_cnt_in,cancel_mny_in,cancel_tax_in,cancel_cnt_rate_in,cancel_mny_rate_in,negative_rate_in,valid_cnt_out,valid_mny_out,valid_tax_out,cancel_cnt_out,cancel_mny_out,cancel_tax_out,cancel_cnt_rate_out,cancel_mny_rate_out,negative_rate_out,profit,debt,profit_estimation,p_growth_rate,p_acceleration,tax_estimation,t_growth_rate,t_acceleration,bill_cnt_in,bill_cnt_out,bill_cnt_year,partner_kurt_in,mny_wave_in,time_wave_in,partner_kurt_out,mny_wave_out,time_wave_out,credit_score,type_WOE,target
E1,0.103327607,1,1,0.747035573,0,0,0.564777682,0.937739462,0.85140043,0.332798514,1,0,0.812865497,0.490974568,0.532704109,0.959950678,0.956901351,0.908043791,0,1,0,0.242275548,0.1210502,1,0.78448307,0.530979265,0.107322039,0.452277505,0.246578934,0.767671761,0,0.903382829,0.575034957,0,0.908430905,1,1,0
E2,1,0.027114014,0.007529521,0.050065876,0.959958909,0.986829151,0.825108844,0.909640063,0.966254177,0.49235771,0.145310869,0.943972071,0.129490393,0.623035617,0.861103897,0.881097033,0.797748687,0.902271752,0.640791408,0.456755997,1,0.417720542,0.119445047,0,0.603486077,0.536765573,1,0.745620182,1,0.540869769,0.994221786,0.792481557,0.759619384,0.906065154,0.826291055,1,0.926443303,0
E3,0.138894191,0.009056463,0.002409619,0.744400527,0.985574369,0.994986262,0.66823065,0.902944436,0.959514541,1,0.140228554,0.856362674,0.678362573,0.891309235,0.890224047,0.97681012,0.93508876,0.398295904,0.665972592,0.344017728,0.729345026,0.229949266,0.118809155,0.093178924,0.794856604,0.541531976,0.132480186,1,0.469616736,0.572405552,0.986841613,0.522349809,0.710033203,0.741608675,0.611472362,0.333333333,0.972219177,0
E4,0.016542597,0.03827469,0.038855469,0.951251647,0.506251421,0.505125628,0.482795696,0.4413189,0.947792708,0.086007431,0.452538385,0.51552517,0.841269841,0,0,0.876512774,0.825162523,0.986036257,1,0,0.65825667,0.126783087,0.118022489,0.192239826,0.886894025,0.545556787,0.013451611,0.022704975,0.018193257,0.655420981,0.5507056,0.80348917,0.738907743,0.459786386,0.716174527,0.333333333,0.926443303,0
E5,0.066265827,0.034429041,0.033078589,0.88801054,0.981051636,0.984125108,0.694329185,0.96515823,0.941266795,0.04226482,0.049829366,0.951550428,0.954051796,0.952286825,0.952349514,0.924764152,0.920411461,0.968490878,0.510376766,0.508637196,0.625188479,0.520859412,0.12751718,0.230980307,0.660579446,0.537206344,0.087399113,0.018640505,0.069994233,0.710192871,0.909688816,0.893670535,0.440201409,0.286834853,0.861611904,0.666666667,0.926443303,0
E6,0.343990583,0.052619303,0.021154389,0.310935441,0.915726252,0.958361551,0.640169354,0.902443351,0.949694838,0.038380341,0.090118286,0.953447204,0.883876358,0.745939141,0.884921614,0.808412547,0.782075536,0.920226359,0.528354969,0.490882747,0.638573056,0.279414984,1,0.178785244,0.450436032,0.562268707,0.301825056,0.047792572,0.235516175,0.606002423,0.978863239,0.838575388,0.705899621,0.144477964,0.919243497,1,0.926443303,0
E7,0.402175988,0.010395669,0.004222399,0.401844532,0.986402503,0.994935567,0.729617469,0.919475824,0.757430992,0.338963013,0.126153277,0.868392275,0.902255639,0.924820198,0.924447899,0.979181494,0.949725505,0.247364708,0.646293419,0.361359997,0.631156947,0.204674878,0.117041348,0.214222567,0.816804659,0.549558146,0.355267942,0.289278206,0.364389451,0.597781123,0.994742089,0.298528676,0.631986409,0.530494627,0.872952176,1,0.972219177,0
E8,0.69275307,0.028271732,0.0089625,0,0.953906087,0.984774657,0.737300321,0.900791124,0.975644025,0.352769802,0.088261225,0.965383381,0.109440267,0.72771106,0.894058006,0.836,0.763888803,0.906049367,0.568464386,0.484613581,0.716387296,0.394660912,0.115515593,0.174514311,0.620009914,0.563271852,0.657892823,0.368185004,0.612121848,0.658843117,0.985257746,0.894459157,0.776530993,0.911365877,0.854657852,1,0.926443303,0
E9,0.13354966,0.00427095,0.002012775,0.876152833,0.998378853,0.999624498,0.829210342,0.975815918,0.956275307,0.243033271,0.078596061,0.921269471,0.878028404,0.942281184,0.945337737,0.964155097,0.938399893,0.932928239,0.598346795,0.420510656,0.747193318,0.264870652,0.118825462,0.077476732,0.767707144,0.541897491,0.115247582,0.262789068,0.181408273,0.646645132,0.99448077,0.902448125,0.531484723,0.9184231,0.849472633,1,0.972219177,0
E10,0.122765159,0.000895481,0.000306086,0.687747036,0.99538171,0.998652006,0.5487918,0.721494097,0.940103628,0.02161797,0.08381998,0.983201465,0.956558062,0.83503656,0.964361503,0.867253521,0.842834031,0.987726098,0.610662974,0.491269277,0.651228372,0.240791498,0.117982658,0.23195477,0.767047581,0.544662553,0.131680361,0.021583742,0.103025219,0.748968457,0.99910297,0.895436356,0.448697607,0.214827347,0.253980822,0.666666667,1,0
E11,0.086339632,0.023189833,0.012306826,0.84057971,0.95345473,0.970950052,0.667207337,0.879497534,0.939889503,0.04420706,0.036500363,0.977705218,0.944862155,0.976313443,0.986392539,0.914324082,0.945382328,0.996986996,0.51352103,0.504873243,0.58475982,0.279414984,0.114040409,0.239796289,0.774259359,0.553014558,0.128626481,0.082130343,0.123472972,0.826988281,0.978378459,0.906361176,0.712914671,0.517368355,0.767548361,0.333333333,0.972219177,0
E12,0.055863078,0.01546666,0.007383623,0.948616601,0.930337392,0.985966387,0.830623608,0.751586224,0.949686963,0.010935653,0.055007209,0.969470736,0.981620718,0.888961712,0.943719822,0.888070176,0.839121929,0.987959444,0.549778758,0.486823063,0.746548314,0.182156342,0.119316599,0.179907382,0.84643755,0.538501856,0.077146804,0.011913104,0.060084937,0.724682335,0.944456786,0.54808672,0.910495206,0.518721564,0.988215981,0.666666667,1,0
